season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2023,1,Boston Bruins,Atlantic,1724.4,67,20,87,0.77,67-20,Vegas Golden Knights,1698.5,1502.7,NA,2026-05-25T20:32:05Z
2023,2,Vegas Golden Knights,Pacific,1698.5,66,35,101,0.653,66-35,Boston Bruins,1724.4,1505.4,NA,2026-05-25T20:32:05Z
2023,3,Edmonton Oilers,Pacific,1653.1,55,38,93,0.591,55-38,Boston Bruins,1724.4,1508.1,NA,2026-05-25T20:32:05Z
2023,4,New York Rangers,Metropolitan,1643.4,48,35,83,0.578,48-35,Vegas Golden Knights,1698.5,1502.8,NA,2026-05-25T20:32:05Z
2023,5,Colorado Avalanche,Central,1636.4,54,31,85,0.635,54-31,Vegas Golden Knights,1698.5,1495.2,NA,2026-05-25T20:32:05Z
2023,6,New Jersey Devils,Metropolitan,1592.2,54,34,88,0.614,54-34,Boston Bruins,1724.4,1508.5,NA,2026-05-25T20:32:05Z
2023,7,Dallas Stars,Central,1581.5,51,44,95,0.537,51-44,Vegas Golden Knights,1698.5,1509.2,NA,2026-05-25T20:32:05Z
2023,8,Los Angeles Kings,Pacific,1576.1,48,40,88,0.545,48-40,Boston Bruins,1724.4,1509,NA,2026-05-25T20:32:05Z
2023,9,New York Islanders,Metropolitan,1560,47,40,87,0.54,47-40,Vegas Golden Knights,1698.5,1496.2,NA,2026-05-25T20:32:05Z
2023,10,Toronto Maple Leafs,Atlantic,1554.6,51,36,87,0.586,51-36,Boston Bruins,1724.4,1499.1,NA,2026-05-25T20:32:05Z
2023,11,Florida Panthers,Atlantic,1552.8,47,49,96,0.49,47-49,Boston Bruins,1724.4,1528.2,NA,2026-05-25T20:32:05Z
2023,12,Seattle Kraken,Pacific,1547.5,50,42,92,0.543,50-42,Boston Bruins,1724.4,1511.8,NA,2026-05-25T20:32:05Z
2023,13,Carolina Hurricanes,Metropolitan,1544.8,52,37,89,0.584,52-37,Boston Bruins,1724.4,1512.5,NA,2026-05-25T20:32:05Z
2023,14,Nashville Predators,Central,1529.7,42,38,80,0.525,42-38,Boston Bruins,1724.4,1497.6,NA,2026-05-25T20:32:05Z
2023,15,Tampa Bay Lightning,Atlantic,1525.6,49,39,88,0.557,49-39,Boston Bruins,1724.4,1506.8,NA,2026-05-25T20:32:05Z
2023,16,Calgary Flames,Pacific,1516.3,38,43,81,0.469,38-43,Vegas Golden Knights,1698.5,1498.7,NA,2026-05-25T20:32:05Z
2023,17,Minnesota Wild,Central,1509,46,37,83,0.554,46-37,Edmonton Oilers,1653.1,1496.9,NA,2026-05-25T20:32:05Z
2023,18,Buffalo Sabres,Atlantic,1497.1,43,41,84,0.512,43-41,Boston Bruins,1724.4,1501.5,NA,2026-05-25T20:32:05Z
2023,19,Ottawa Senators,Atlantic,1496.8,40,40,80,0.5,40-40,Boston Bruins,1724.4,1498.7,NA,2026-05-25T20:32:05Z
2023,20,Winnipeg Jets,Central,1489.9,44,39,83,0.53,44-39,Vegas Golden Knights,1698.5,1512,NA,2026-05-25T20:32:05Z
2023,21,Vancouver Canucks,Pacific,1489.4,38,46,84,0.452,38-46,Vegas Golden Knights,1698.5,1503.5,NA,2026-05-25T20:32:05Z
2023,22,Pittsburgh Penguins,Metropolitan,1472.1,41,42,83,0.494,41-42,Vegas Golden Knights,1698.5,1500.3,NA,2026-05-25T20:32:05Z
2023,23,St. Louis Blues,Central,1444.4,37,45,82,0.451,37-45,Vegas Golden Knights,1698.5,1497.3,NA,2026-05-25T20:32:05Z
2023,24,Washington Capitals,Metropolitan,1407,35,45,80,0.438,35-45,Boston Bruins,1724.4,1501.3,NA,2026-05-25T20:32:05Z
2023,25,Detroit Red Wings,Atlantic,1395.9,36,49,85,0.424,36-49,Boston Bruins,1724.4,1502.5,NA,2026-05-25T20:32:05Z
2023,26,Philadelphia Flyers,Metropolitan,1395.4,31,50,81,0.383,31-50,Edmonton Oilers,1653.1,1502.4,NA,2026-05-25T20:32:05Z
2023,27,Montreal Canadiens,Atlantic,1394.2,30,49,79,0.38,30-49,Edmonton Oilers,1653.1,1500.9,NA,2026-05-25T20:32:05Z
2023,28,Arizona Coyotes,Central,1347.6,27,56,83,0.325,27-56,Boston Bruins,1724.4,1509.9,NA,2026-05-25T20:32:05Z
2023,29,Columbus Blue Jackets,Metropolitan,1322.8,27,54,81,0.333,27-54,Edmonton Oilers,1653.1,1506,NA,2026-05-25T20:32:05Z
2023,30,Chicago Blackhawks,Central,1313.5,25,56,81,0.309,25-56,Boston Bruins,1724.4,1498.3,NA,2026-05-25T20:32:05Z
2023,31,San Jose Sharks,Pacific,1310.1,22,57,79,0.278,22-57,Vegas Golden Knights,1698.5,1508.9,NA,2026-05-25T20:32:05Z
2023,32,Anaheim Ducks,Pacific,1277.8,23,57,80,0.288,23-57,Vegas Golden Knights,1698.5,1512,NA,2026-05-25T20:32:05Z
